# t MDEC_CT MIXS2 a state off enabled CA FEGv low band
140 c399 -36920 230 3 0 1 7130 1bff 18460 51788
141 c398 -26450 238 3 0 1 7131 1bff 13225 -20982
142 c397 -41604 238 3 0 1 7133 1bff 20802 30366
143 c396 -82742 240 3 0 1 7134 1bff 41371 82436
144 c395 -120386 240 3 0 1 7136 1bff 60193 75432
145 c394 -157720 248 3 0 1 7137 1bff 78860 74814
146 c393 -175640 248 3 0 1 7139 1bff 87820 35910
147 c392 -178728 250 3 0 1 7140 1bff 89364 6185
148 c391 -152654 250 3 0 1 7142 1bff 76327 -52251
149 c390 -125738 258 3 0 1 7143 1bff 62869 -53941
150 c38f -91828 258 3 0 1 7145 1bff 45914 -67956
151 c38e -35038 260 3 0 1 7146 1bff 17519 -113804
152 c38d 11982 260 3 0 1 7148 1bff -5991 -94228
153 c38c 56206 268 3 0 1 7149 1bff -28103 -88625
154 c38b 86404 268 3 0 1 7151 1bff -43202 -60517
155 c38a 104850 270 3 0 1 7152 1bff -52425 -36966
156 c389 112998 270 3 0 1 7154 1bff -56499 -16330
157 c388 99816 278 3 0 1 7155 1bff -49908 26413
158 c387 89584 278 3 0 1 7157 1bff -44792 20501
159 c386 70000 280 3 0 1 7158 1bff -35000 39244
160 c385 50612 280 3 0 1 7160 1bff -25306 38851
161 c384 60914 288 3 0 1 7161 1bff -30457 -20646
162 c383 66810 288 3 0 1 7163 1bff -33405 -11818
163 c382 50902 290 3 0 1 7164 1bff -25451 31876
164 c381 38270 290 3 0 1 7166 1bff -19135 25311
165 c380 6848 298 3 0 1 7167 1bff -3424 62963
166 c37f -20826 298 3 0 1 7169 1bff 10413 55453
167 c37e -19414 2a0 3 0 1 7170 1bff 9707 -2832
168 c37d -14116 2a0 3 0 1 7172 1bff 7058 -10619
169 c37c -33512 2a8 3 0 1 7173 1bff 16756 38864
170 c37b -54716 2a8 3 0 1 7175 1bff 27358 42489
171 c37a -72188 2b0 3 0 1 7176 1bff 36094 35009
172 c379 -70012 2b0 3 0 1 7178 1bff 35006 -4362
173 c378 -85134 2b8 3 0 1 7179 1bff 42567 30301
